code	name	sw_l1_name	行业股票数	市值	流通市值	pe	pe行业排名	pb	pb行业排名	ps	ps行业排名	营收同比	营收同比行业排名	现金转化率	现金转化率行业排名	杠杆率	杠杆率行业排名	扣非净/营收
002828	贝肯能源	采掘I	60	16.9433	12.6778	66.1492	46	1.7237	33	1.7694	33	12.96	44	19.04	18	2.6701	47	0.012
002829	星网宇达	国防军工I	85	45.5547	25.226999999999997	38.6838	15	4.4484	48	6.5165	42	13.9	64	-61.26	64	1.403	36	0.1296
002830	名雕股份	建筑装饰I	133	12.4406	6.2198	38.5009	95	1.9738	79	1.3257	69	76.3	39	-19.87	56	2.2307	58	-0.1076
002831	裕同科技	轻工制造I	137	258.0121	144.9679	22.5446	51	2.9552	82	2.0437	55	45.83	86	0.48	67	1.7952	95	0.0571
002832	比音勒芬	纺织服装I	85	115.7846	77.1518	21.7281	33	4.4724	59	5.5054	59	45.17	24	68.87	2	1.4981	41	0.2734
002833	弘亚数控	机械设备I	415	105.3211	59.8538	25.2833	120	5.7015	326	5.5406	253	70.85	157	14.16	77	1.2795	110	0.2113
002835	同为股份	计算机I	257	20.8474	11.9256	31.5947	64	2.7595	74	2.4907	44	38.29	125	16.39	21	1.4578	144	0.0375
002836	新宏泽	轻工制造I	137	13.328	13.328	44.4247	95	3.3137	89	6.901	116	-34.03	137	16.99	19	1.2577	20	0.0701
002837	英维克	机械设备I	415	60.097	44.0951	29.7084	150	4.3542	289	3.2873	163	57.53	187	-31.75	322	2.0381	310	0.0824
002838	道恩股份	化工I	372	72.2959	61.5803	8.4475	6	3.9766	268	1.5038	91	62.19	141	-13.17	297	1.4625	158	0.0646
002839	张家港行	银行I	38	100.3417	79.9058	9.6279	31	0.9007	26	2.3541	23	6.73	13	166.71	11	12.6694	19	0.3118
002840	华统股份	食品饮料I	105	44.9855	43.7834	23.5537	16	2.5552	19	0.4816	3	23.66	74	2.69	64	2.4731	98	0.0148
002841	视源股份	电子I	309	823.6822	493.8276	42.4333	146	11.1277	263	4.5548	169	36.49	214	4.57	144	1.8734	201	0.046
002842	翔鹭钨业	有色金属I	124	25.4762	21.7811	57.4949	88	2.7321	53	1.8245	53	40.52	87	-25.12	110	2.3916	100	0.0282
002843	泰嘉股份	机械设备I	415	15.561	15.5607	35.1049	188	3.1449	220	3.5496	176	38.14	253	14.23	76	1.6614	221	0.0971
002845	同兴达	电子I	309	55.6965	37.5024	16.1327	11	2.2511	44	0.4804	5	59.08	145	8.26	116	3.5405	301	0.0269
002846	英联股份	轻工制造I	137	26.3281	18.4159	33.6887	73	3.4173	91	1.7229	47	97.08	31	8.64	37	2.3042	125	0.0374
002847	盐津铺子	食品饮料I	105	156.9525	132.9449	58.8709	69	18.4283	91	7.5229	60	27.45	68	4.9	49	2.4297	96	0.1141
002849	威星智能	机械设备I	415	15.7349	11.5402	19.6417	61	2.0191	98	1.254	44	22.09	322	-34.49	334	2.0509	312	0.0342
002850	科达利	电气设备I	221	180.7309	98.6014	72.0371	169	4.4902	159	7.2616	170	169.95	17	-1.17	72	1.3683	44	0.1008
